timestamp_ms,price_usd
1774782038065,1994.776096
1774785788409,2002.840377
1774789264650,2000.555487
1774792987154,1985.937678
1774796620132,1991.871066
1774800209191,1991.109416
1774803755261,1995.878815
1774807341781,1993.695605
1774810935018,1995.882474
1774814536354,1993.835770
1774818204750,2000.775126
1774821780062,2005.094381
1774825344930,1972.582583
1774828945081,1983.184168
1774832576383,1996.737354
1774836034809,2008.413225
1774839748435,2028.757171
1774843315274,2034.954931
1774846898882,2047.104721
1774850557241,2046.953151
1774854138937,2041.549600
1774857729607,2057.060858
1774861359318,2061.257063
1774864934852,2053.314615
1774868452942,2055.488420
1774872167331,2067.684679
1774875776153,2073.562538
1774879338327,2059.256556
1774882945068,2069.956936
1774886553011,2072.603536
1774890139087,2061.073492
1774893716696,2040.104362
1774897395626,2029.788888
1774900845083,2021.186028
1774904567619,2023.057569
1774908150177,2036.500371
1774911602128,2030.074618
1774915336724,2023.824017
1774918949031,2033.763661
1774922600170,2072.860229
1774926120735,2073.272686
1774929616965,2065.843978
1774933419626,2059.267088
1774937002489,2062.251868
1774940594254,2060.523289
1774944127952,2053.684722
1774947755256,2039.239531
1774951352791,2014.772445
1774954931223,2024.535194
1774958569834,2038.957998
1774962087203,2045.802575
1774965753159,2071.115849
1774969225226,2044.916807
1774972841140,2053.570570
1774976557905,2088.285909
1774980130643,2090.577150
1774983740604,2097.119346
1774987201357,2094.350611
1774990867782,2105.168710
1774994552087,2100.580813
1774998186200,2094.498699
1775001734514,2104.876586
1775005395011,2111.899371
1775008856151,2091.552683
1775012517529,2086.794842
1775016224251,2100.460335
1775019819468,2109.188077
1775023224029,2121.830902
1775027037437,2150.612240
1775030493392,2129.716085
1775034061110,2137.469240
1775037677811,2135.901404
1775041322992,2131.258865
1775044911296,2134.752712
1775048464085,2129.800654
1775052114285,2118.952790
1775055745909,2125.954587
1775059290741,2135.368308
1775062817391,2145.039026
1775066581331,2136.271398
1775070200007,2127.540731
1775073750273,2142.467117
1775077383413,2143.761440
1775080941419,2158.958209
1775084545001,2140.021747
1775088146694,2139.057889
1775091723538,2157.012122
1775095373868,2100.009581
1775098965099,2073.967654
1775102513459,2056.191916
1775106113620,2044.721012
1775109726944,2049.669727
1775113368795,2049.742666
1775116999088,2055.333136
1775120530553,2046.342453
1775124044955,2043.153021
1775127739486,2038.060132
1775131323565,2033.007848
1775134815552,2026.616605
1775138564058,2034.637164
1775142164160,2065.179106
1775145796672,2058.663051
1775149356650,2064.364325
1775152980204,2046.751814
1775156538262,2058.078070
1775160117333,2065.199860
1775163773588,2068.267540
1775167356843,2062.257262
1775170983896,2061.084999
1775174623683,2056.890296
1775178160933,2052.301497
1775181747981,2049.654142
1775185436752,2051.456279
1775188956365,2054.075518
1775192552102,2054.589908
1775196108376,2056.787298
1775199786059,2063.283857
1775203378863,2065.581559
1775206938130,2060.818613
1775210581060,2061.056565
1775214183489,2059.917417
1775217773220,2062.515878
1775221344341,2050.428684
1775224951157,2048.410769
1775228444953,2055.269496
1775232069051,2051.497255
1775235759297,2054.815623
1775239375635,2050.022687
1775242996843,2048.710151
1775246545300,2052.414695
1775250235567,2052.816741
1775253856260,2058.386443
1775257454228,2051.959840
1775261313973,2052.040627
1775264670076,2051.834102
1775269157524,2049.460633
1775274981385,2050.175196
1775277789286,2050.762401
1775280633226,2051.257020
1775285553124,2054.431111
1775289511362,2052.144190
1775292299073,2052.510171
1775296713855,2049.714266
1775299994105,2053.016344
1775300529502,2053.929602
1775304142034,2051.141168
1775307742249,2049.532166
1775311308002,2053.532023
1775314956466,2052.324708
1775318460948,2055.727431
1775322129147,2057.624927
1775325783734,2056.775036
1775329348768,2055.059346
1775332935838,2065.931463
1775336582382,2062.341979
1775340164724,2068.388449
1775343732646,2069.016802
1775347311661,2065.523138
1775350907013,2061.184953
1775354503387,2057.604028
1775358187459,2059.433758
1775361727305,2055.881192
1775365381057,2054.577400
1775368983987,2047.925676
1775372591817,2038.741164
1775376174658,2036.678737
1775379792088,2038.850895
1775383238185,2044.261901
1775386949575,2044.223990
1775390590762,2041.750390
1775394198546,2028.298925
1775397796198,2035.656852
1775401402219,2037.693220
1775404820079,2053.007243
1775408672723,2051.006394
1775412219989,2061.227484
1775415817955,2061.520752
1775419411403,2060.347315
1775422995066,2068.014880
1775426583790,2060.852032
1775430162584,2084.138897
1775433765505,2109.005556
1775437412946,2121.444948
1775440937328,2115.094763
1775444932421,2132.848404
1775448169990,2127.644809
1775451729086,2130.245652
1775455364493,2130.386287
1775458973715,2126.846338
1775462588879,2134.268021
1775466184795,2138.313392
1775469812643,2151.035845
1775473428922,2152.027211
1775477029088,2151.361917
1775480618427,2143.916994
1775484233843,2144.176220
1775487801781,2158.133398
1775491377155,2164.396552
1775494999719,2143.002132
1775498660451,2134.897243
1775502174393,2144.491812
1775505769314,2144.545043
1775509422084,2149.281662
1775513015888,2139.662347
1775516612432,2111.367834
1775520174929,2107.828320
1775523793498,2113.657607
1775527376649,2100.386104
1775531006432,2105.597346
1775534533959,2107.743347
1775538133050,2114.833571
1775541797511,2104.688152
1775545283804,2103.628581
1775548971420,2103.691857
1775552631551,2115.542487
1775556168161,2128.145416
1775559754944,2089.013360
1775563422206,2089.694218
1775567049018,2087.243274
1775570567139,2076.647932
1775574256274,2071.409153
1775577741562,2079.477617
1775581402472,2083.437232
1775584983095,2099.822010
1775588640757,2085.584029
1775592201421,2111.609367
1775595813565,2114.106028
1775599409209,2144.703773
1775602970642,2208.355012
1775606643402,2241.815990
1775610218276,2234.615610
1775613767625,2234.588593
1775617451352,2234.578549
1775620987102,2234.304553
1775624511825,2244.686394
1775628114075,2240.193816
1775631775795,2245.658772
1775635354991,2252.109134
1775638915775,2255.813461
1775642536084,2249.790008
1775646145792,2244.275887
1775649724680,2246.964207
1775653340404,2256.391906
1775656935240,2236.400075
1775660560208,2192.179075
1775664152663,2215.599584
1775667714023,2222.530120
1775671301904,2231.723538
1775674941353,2202.622602
1775678535563,2207.803484
1775682110746,2209.582570
1775685726957,2213.711092
1775689348459,2190.951622
1775692952826,2190.478568
1775696516086,2184.568977
1775700089979,2177.417701
1775703701774,2182.100505
1775707390366,2182.743847
1775711075383,2177.827434
1775714680187,2181.485795
1775718207764,2181.139470
1775721752938,2181.237473
1775725353231,2186.316572
1775728935289,2193.932912
1775732576613,2192.198321
1775736149724,2180.172091
1775739683910,2182.788437
1775743323845,2164.894541
1775746978505,2177.165379
1775750593203,2217.067374
1775754148467,2206.885459
1775757805226,2222.457833
1775761350842,2207.546229
1775764985746,2216.770732
1775768566107,2212.311610
1775772177646,2211.319186
1775775763535,2201.240376
1775779333777,2188.974427
1775782850822,2194.160062
1775786546279,2195.737364
1775790148579,2188.209237
1775793756739,2185.978706
1775797357446,2194.783225
1775801053106,2196.477224
1775804601856,2185.572400
1775808222731,2179.271013
1775811865435,2186.068303
1775815348867,2195.920511
1775818949117,2197.763506
1775822517583,2216.179020
1775826017710,2219.393793
1775829748072,2224.345776
1775833279127,2243.306060
1775836908440,2222.949264
1775840544675,2246.294174
1775844077809,2248.494958
1775847774300,2250.213732
1775851324058,2254.403106
1775856448634,2249.347277
1775860338939,2248.060436
1775864597846,2243.174492
1775868753579,2238.399702
1775872692076,2245.071880
1775875977749,2246.676874
1775879989066,2238.397114
1775882263702,2241.356452
1775886143155,2235.754362
1775890498163,2236.338596
1775891622517,2235.317362
1775897000288,2234.637758
1775901023846,2243.947190
1775903031415,2240.631962
1775908798373,2246.580191
1775909076832,2246.580191
1775913165551,2241.566438
1775918019861,2242.667767
1775921102134,2249.400936
1775924609818,2249.478055
1775930398796,2259.947358
1775930925322,2259.969299
1775934537955,2307.562979
1775939746060,2293.787136
1775943369816,2301.174956
1775946773308,2306.736689
1775951698015,2285.470139
1775952083797,2285.561061
1775957730976,2273.937900
1775958346916,2232.806650
1775958663141,2219.478343
1775958725139,2219.478343
1775958777993,2219.478343
1775958812415,2219.478343
1775959248817,2219.841232
1775962851363,2225.539780
1775966443095,2216.951772
1775970048893,2212.612455
1775973663521,2218.125892
1775977248686,2216.584047
1775980875849,2220.279110
